kind,index,x,y,z,is_boundary,cache_steps,c_exact,w
coarse,0,-0.01005628705,-0.3588715792,0.794151485,0,8,-0.1286876814,
coarse,1,0.1582449079,0.7130257487,-0.6792181134,0,8,-0.4833642675,
coarse,2,-0.2954205275,-0.6066718102,-0.05914430693,0,8,-0.2807773972,
coarse,3,-0.4438613057,-0.3270941377,-0.6292972565,0,8,0.09002228381,
coarse,4,0.179749921,-0.06000100821,0.9541285634,0,8,0.0287099131,
coarse,5,0.1351493597,0.931809783,-0.2555954754,0,8,-0.8500041222,
coarse,6,0.8923668265,0.5372008085,-0.003778147046,0,8,0.5077338444,
coarse,7,-0.55894804,-0.08030777425,-0.8270816803,1,8,0.3059735728,
coarse,8,0.2886618674,-0.7861477733,0.443477571,0,8,-0.5347026477,
coarse,9,-0.5602323413,0.07593125105,0.8101311922,0,8,0.3080947213,
coarse,10,-0.0629863739,0.2223759592,-0.9366104007,0,8,-0.04548378391,
coarse,11,0.7690557241,0.573918581,0.2647925317,0,8,0.2620641692,
coarse,12,-0.2995006442,0.4269036353,-0.2643033266,0,8,-0.09254607792,
coarse,13,-0.9048463702,-0.0266436059,-0.4528814554,0,8,0.818037072,
coarse,14,0.2217178345,-0.7332793474,-0.5768678188,0,8,-0.4885398032,
coarse,15,0.3636902273,-0.3516630828,0.8443304896,0,8,0.008603657581,
coarse,16,0.7209215164,-0.6224398017,-0.2892797291,0,8,0.1322965261,
coarse,17,0.6064980626,-0.03037580661,-0.8005442619,0,8,0.3669172103,
coarse,18,-0.6973305941,0.5425698757,-0.3002665639,0,8,0.1918878874,
coarse,19,0.02855412476,0.9959678054,-0.1575686038,0,8,-0.9911365313,
coarse,20,0.8479984999,-0.2573176622,-0.3258620799,0,8,0.6528890765,
coarse,21,-0.7134199142,-0.07216466963,-0.5510208011,0,8,0.5037602345,
coarse,22,0.2044830024,-0.8971573114,0.1209241748,0,8,-0.7630779432,
coarse,23,0.4724945724,-0.6277316809,-0.5954323411,0,8,-0.1707959422,
coarse,24,-0.274437964,0.9099133611,-0.2051948309,0,8,-0.7526261286,
coarse,25,-0.015252918,0.2890138626,-0.2899492085,0,8,-0.08329636127,
coarse,26,0.7533884048,-0.2238478214,0.5638080835,0,8,0.5174862414,
coarse,27,-0.7507471442,-0.1647492051,-0.6134616733,0,8,0.536478974,
coarse,28,0.8795349002,0.2391191423,0.0808808431,0,8,0.7164036764,
coarse,29,0.4233701825,-0.6174208522,0.08985178173,0,8,-0.2019661973,
coarse,30,0.5913990736,0.4870830476,0.5267585516,0,8,0.112502969,
coarse,31,-0.6486857533,0.0179149583,-0.1143942997,0,8,0.4204722609,
coarse,32,-0.2915495038,-0.1097874045,-0.1046436429,0,8,0.07294783897,
coarse,33,0.4456540048,-0.8526030183,0.1377779394,0,8,-0.5283244148,
coarse,34,0.7318776846,-0.2013034374,-0.3300272822,0,8,0.4951218713,
coarse,35,0.5871949196,-0.4466557205,0.4153810441,0,8,0.145296541,
coarse,36,0.4175803065,0.2234792113,-0.8116926551,0,8,0.1244303545,
coarse,37,0.3380773365,0.891253233,0.2925745845,0,8,-0.6800360398,
coarse,38,0.4173286855,0.1240441203,-0.8958975077,0,8,0.158776288,
coarse,39,0.8146321177,-0.1066272184,-0.5231924653,0,8,0.6522561236,
coarse,40,-0.09913131595,-0.8878215551,-0.4058544338,0,8,-0.778400096,
coarse,41,0.5292916298,0.02733815648,-0.7458453178,0,8,0.2794022546,
coarse,42,0.2929804623,-0.2010482848,0.693569839,0,8,0.04541713849,
coarse,43,-0.5784788728,-0.08184749633,0.8005965948,0,8,0.3279387936,
coarse,44,-0.1814195067,-0.8384940028,-0.4883508384,0,8,-0.6701591554,
coarse,45,0.6349362731,-0.2166461498,-0.7578650713,0,8,0.3562085167,
coarse,46,0.6281135678,0.5096126795,0.4913887382,0,8,0.134821571,
coarse,47,0.7788704038,0.4597992003,-0.3187823892,0,8,0.3952238013,
coarse,48,0.4256674051,0.4614337385,0.7654929757,0,8,-0.03172835521,
coarse,49,0.708386898,0.5860417485,0.2621929348,0,8,0.1583670663,
coarse,50,-0.4059543908,-0.7125532031,0.5290542245,0,8,-0.3429330999,
coarse,51,0.4728889167,0.7673689723,-0.2771474719,0,8,-0.3652312121,
coarse,52,0.06457321346,-0.9401974082,0.1391843855,0,8,-0.8798014665,
coarse,53,-0.4503948092,-0.3087506294,0.8203269839,0,8,0.107528533,
coarse,54,0.1887280047,0.4255463779,0.8686873913,0,8,-0.14547146,
coarse,55,0.7365115881,0.6411613226,0.06521181017,0,8,0.1313614778,
coarse,56,0.7232561707,-0.6088317633,0.3032658398,0,8,0.1524233726,
coarse,57,0.108133696,0.04290894046,-0.991376698,0,8,0.009851719043,
coarse,58,-0.4202737212,0.5176346898,-0.0834942311,0,8,-0.09131567135,
coarse,59,0.2555240989,-0.6637217999,0.6592493653,0,8,-0.3752340625,
coarse,60,-0.3890740871,-0.7761070132,0.4282454848,0,8,-0.4509634507,
coarse,61,-0.07199420035,-0.2770194709,-0.9505227208,0,8,-0.07155662239,
coarse,62,-0.06602337956,0.7369455695,-0.6847048402,0,8,-0.5387296858,
coarse,63,0.2109878957,0.832803905,0.4521745443,0,8,-0.6490464521,
coarse,64,0.2211526334,0.9456579685,-0.03671829775,0,8,-0.8453605062,
coarse,65,-0.08152798563,-0.08201592416,-0.9899455309,0,8,-7.979937384e-05,
coarse,66,0.5647006035,0.7520401478,-0.3241457939,0,8,-0.2466776123,
coarse,67,-0.7656880021,-0.1973071694,0.4697907865,0,8,0.5473479975,
coarse,68,-0.393576622,0.6844602823,-0.6122208834,0,8,-0.3135833207,
coarse,69,-0.7624794245,-0.5779457092,0.0007164032431,0,8,0.2473536299,
coarse,70,-0.4844218791,0.7766455412,-0.3624387681,0,8,-0.3685137397,
coarse,71,0.4346421361,0.8603165746,-0.06999449432,0,8,-0.551230822,
coarse,72,-0.3090102077,0.3268241286,-0.5669585466,0,8,-0.01132670262,
coarse,73,0.1392553151,-0.2653228641,-0.8934540749,0,8,-0.05100417942,
coarse,74,-0.4390318394,-0.3003439903,0.7311651707,0,8,0.1025424435,
coarse,75,0.2973614633,0.9121778011,-0.06632893533,0,8,-0.743644501,
coarse,76,-0.2620770633,0.8422414064,-0.3713725209,0,8,-0.6406861996,
coarse,77,-0.5700287819,0.764287293,0.2622031868,0,8,-0.259202254,
coarse,78,-0.7548161149,0.3726638556,0.1195726991,0,8,0.4308690181,
coarse,79,0.5599363446,0.1188503206,-0.7920048833,0,8,0.2994033113,
coarse,80,-0.3015895784,-0.657440722,-0.2733437419,0,8,-0.3412720291,
coarse,81,-0.3015422821,-0.1568197459,0.5972419381,0,8,0.06633531519,
coarse,82,-0.9531570673,0.1818471104,-0.219810605,0,8,0.8754400234,
coarse,83,-0.2359730452,0.7705562711,-0.5419043899,0,8,-0.5380736888,
coarse,84,0.25698331,-0.7821340561,0.4399934411,0,8,-0.5456932601,
coarse,85,0.5900399685,-0.196272254,-0.1109492332,0,8,0.3096243667,
coarse,86,-0.8328291774,0.4251787066,-0.399769336,0,8,0.5128275061,
coarse,87,-0.2288783044,-0.6637696028,-0.07797990739,0,8,-0.3882048074,
coarse,88,-0.3079662621,-0.6941473484,-0.4151093364,0,8,-0.3869973227,
coarse,89,0.5997529626,0.09988899529,0.6943241954,0,8,0.3497258048,
coarse,90,0.5087662935,-0.63177073,0.2880502343,0,8,-0.1402911139,
coarse,91,-0.3379529715,0.9076176286,0.3357448876,0,8,-0.7095575488,
coarse,92,0.9261251092,-0.3887050748,-0.03217013925,0,8,0.7066160827,
coarse,93,-0.5830674171,-0.8299632072,0.1244402081,0,8,-0.3488713124,
coarse,94,-0.6613931656,0.7489219308,-0.06428358704,0,8,-0.1234431389,
coarse,95,0.4177106619,0.5241494179,-0.7532766461,0,8,-0.1002504152,
coarse,96,0.207389757,-0.807133317,0.4716235995,0,8,-0.6084536801,
coarse,97,-0.3571719825,0.7589018941,0.6003652215,0,8,-0.4483602598,
coarse,98,0.2365814298,0.5239264965,-0.7996085882,0,8,-0.2185282008,
coarse,99,-0.1497090161,-0.1133917719,0.8062980175,0,8,0.00955509556,
coarse,100,0.1207204908,0.8549181223,-0.4584583938,0,8,-0.7163115589,
coarse,101,0.5612799525,0.5192633867,-0.6149826646,0,8,0.04540072031,
coarse,102,0.8304730654,0.3443635404,0.4570300579,0,8,0.5710992644,
coarse,103,0.09011089802,0.1796068251,-0.8258407116,0,8,-0.02413863769,
coarse,104,0.7985787392,-0.3712753356,0.2483910173,0,8,0.4998826279,
coarse,105,-0.4367346168,-0.4386501014,-0.7684870958,0,8,-0.001676786005,
coarse,106,0.2059143782,0.9421871305,0.244668752,0,8,-0.8453158577,
coarse,107,-0.8124898672,0.5443645716,0.2692481279,0,8,0.3638069975,
coarse,108,0.1700614542,-0.2183623612,0.8431602716,0,8,-0.01876122259,
coarse,109,0.4846416414,0.6201664805,-0.5069399476,0,8,-0.149728943,
coarse,110,-0.4562652409,-0.3538872302,-0.77039814,0,8,0.08294179839,
coarse,111,-0.08729213476,0.8229302168,-0.02534095943,0,8,-0.6695942249,
coarse,112,-0.1448562443,0.1077491939,-0.9695773125,0,8,0.009373442733,
coarse,113,0.2115300596,0.5326681137,-0.7931385636,0,8,-0.2389903533,
coarse,114,0.9428830743,0.07900806516,-0.4068075418,0,8,0.8827862174,
coarse,115,0.8883249164,-0.3655152619,0.154080689,0,8,0.6555197504,
coarse,116,-0.2258761972,-0.4823352695,0.8532242179,0,8,-0.1816272557,
coarse,117,0.5406531692,0.4309198856,-0.1654475033,0,8,0.1066139015,
coarse,118,-0.8964569569,0.3114877641,0.2597098649,0,8,0.7066104483,
coarse,119,0.4606553018,0.5810863972,0.5708073378,0,8,-0.1254580939,
coarse,120,0.9679133296,0.03339170665,-0.09713034332,0,8,0.9357412075,
coarse,121,0.8497232199,0.40462479,0.3941208124,0,8,0.5583083297,
coarse,122,0.3303446472,0.889834702,0.2902272344,0,8,-0.682678211,
coarse,123,-0.4495590329,0.373483181,-0.7923945189,0,8,0.06261363759,
coarse,124,0.6247521043,-0.7518799305,0.006052006967,0,8,-0.1750082381,
coarse,125,0.1321861297,0.9004145861,-0.3935530186,0,8,-0.7932732539,
coarse,126,0.4357979894,0.7673946023,0.2032891959,0,8,-0.3989745881,
coarse,127,0.9187580943,0.4155913591,0.08129625767,0,8,0.6714002581,
coarse,128,0.8367109895,-0.2034882009,-0.3238117099,0,8,0.658677832,
coarse,129,-0.1930730641,0.3840204477,-0.9077453017,0,8,-0.1101944962,
coarse,130,0.6478327513,-0.3662289381,0.09741607308,0,8,0.2855636385,
coarse,131,0.9422396421,0.05199119821,0.3668385446,0,8,0.8851124585,
coarse,132,0.5343786478,0.5213522911,0.6379370689,0,8,0.01375232779,
coarse,133,0.5132344365,0.6245806813,-0.4864861369,0,8,-0.1266914407,
coarse,134,0.6263225675,0.02986998856,-0.5831643939,0,8,0.3913877423,
coarse,135,-0.5852370858,-0.6011532545,-0.2578612864,0,8,-0.01888278879,
coarse,136,0.7778042555,-0.0460155122,0.6569215655,0,8,0.6028620325,
coarse,137,0.4596339464,0.5233597755,-0.2416606396,0,8,-0.06264208996,
coarse,138,0.8070957661,0.5018954873,0.1945744008,0,8,0.3995044954,
coarse,139,0.6286085248,-0.5882724524,-0.2950119972,0,8,0.04908419925,
coarse,140,-0.8723886013,0.4230187535,0.08200383931,0,8,0.5821170058,
coarse,141,-0.06311605871,-0.5691784024,0.7256992459,0,8,-0.3199804169,
coarse,142,0.3331556618,0.8899946809,0.2910991907,0,8,-0.681097837,
coarse,143,0.398293674,0.8137706518,0.3137411773,0,8,-0.503584823,
coarse,144,0.6427904963,0.2245224267,0.5477541089,0,8,0.3627693021,
coarse,145,0.09354706109,-0.1188082546,0.6285141706,0,8,-0.005364348723,
coarse,146,-0.3216960728,-0.07310142368,0.8032775521,0,8,0.09814454512,
coarse,147,0.7068093419,-0.5074560642,0.5331288576,0,8,0.2420677887,
coarse,148,-0.3052011728,-0.8632735014,-0.2262191027,0,8,-0.6520933823,
coarse,149,-0.4545276463,0.6824176311,-0.5143537521,0,8,-0.259098442,
coarse,150,-0.04936046898,-0.3699120581,-0.548347652,0,8,-0.1343984748,
coarse,151,0.1453353912,-0.01907182485,-0.4601043463,0,8,0.02075864142,
