backend,mode,n_queries,n_samples,max_steps_limit,count,wos_warmup_queries_mean,wos_warmup_usec_mean,total_usec_mean,mean_usec_per_query_mean,median_usec_per_query_mean,usec_per_query_mean,usec_per_query_min,usec_per_query_max,usec_per_sample_mean,usec_per_wos_query_mean,queries_per_sample_mean,avg_steps_mean,p95_steps_mean,p99_steps_mean,max_steps_mean,active_remaining_mean,query_count_mean
cuda,wos,0,65536,0,5,65536.0,85994.353,0.122,0.0,0.0,0.0,0.0,0.0,1.8615722653999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,65536.0,0.0
cuda,wos,0,65536,1,5,65536.0,90081.1656,28791.9266,0.0,0.0,0.0,0.0,0.0,0.43932993470000004,0.43932993470000004,1.0,1.0,1.0,1.0,1.0,65536.0,65536.0
cuda,wos,0,65536,2,5,65536.0,83838.4556,43897.94,0.0,0.0,0.0,0.0,0.0,0.66982940674,0.33491470338,2.0,2.0,2.0,2.0,2.0,65536.0,131072.0
cuda,wos,0,65536,4,5,65536.0,91076.2904,68387.9366,0.0,0.0,0.0,0.0,0.0,1.043517099,0.26087927476,4.0,4.0,4.0,4.0,4.0,65515.4,262144.0
cuda,wos,0,65536,8,5,65536.0,81253.896,106342.2126,0.0,0.0,0.0,0.0,0.0,1.6226533906,0.20333848296,7.980029296875,7.980029296800001,8.0,8.0,8.0,64076.4,522979.2
cuda,wos,0,65536,16,5,65536.0,87527.77459999999,197873.5756,0.0,0.0,0.0,0.0,0.0,3.0193111512,0.19834128788,15.223007202148438,15.223007204000002,16.0,16.0,16.0,51090.4,997655.0
cuda,wos,0,65536,32,5,65536.0,80469.73120000001,281049.6612,0.0,0.0,0.0,0.0,0.0,4.2884774964000005,0.17982359671999998,23.847598266601562,23.847598266,32.0,32.0,32.0,19976.0,1562876.2
cuda,wos,0,65536,64,5,65536.0,88630.0172,339930.5642,0.0,0.0,0.0,0.0,0.0,5.1869287752,0.18731493446,27.690689086914062,27.690689088,56.2,64.0,64.0,1737.2,1814737.0
cuda,wos,0,65536,128,5,65536.0,92962.17860000001,376390.1128,0.0,0.0,0.0,0.0,0.0,5.7432573364,0.20468805294,28.058120727539062,28.058120730000002,56.4,77.2,128.0,12.0,1838817.0
cuda,wos,0,65536,256,5,65536.0,84892.4586,398469.4138,0.0,0.0,0.0,0.0,0.0,6.080160733,0.216706458,28.057769775390625,28.057769775999997,56.4,77.0,167.0,0.0,1838794.0
cuda,wos,0,65536,512,5,65536.0,85466.0608,384373.0868,0.0,0.0,0.0,0.0,0.0,5.8650678528,0.20918290272,28.037783813476562,28.037783816,56.6,77.0,161.0,0.0,1837484.2
