architecture,steps,n_runs,n_levels,n_features_per_level,log2_hashmap_size,encoding_output_dims,n_neurons,n_hidden_layers,hash_params_upper,network_params_rough,total_params_rough_upper,hash_mebibytes_fp16_upper,train_sec_mean,train_sec_std,val_mse_mean,val_mse_std,val_bias_mean,val_bias_std,nc_only_abs_bias_mean,nc_only_abs_bias_std,nc_only_bias2_mean,nc_only_bias2_std,nc_only_mse_model_current_n_mean,nc_only_mse_model_current_n_std,residual_var_ratio_vs_pure_mean,residual_var_ratio_vs_pure_std,two_level_abs_bias_mean,two_level_abs_bias_std,speedup_score_vs_pure_excluding_training_mean,speedup_score_vs_pure_excluding_training_std,training_break_even_rmse_mean,training_break_even_rmse_std,coarse_inference_usec_per_sample_mean,coarse_inference_usec_per_sample_std,residual_inference_usec_per_sample_mean,residual_inference_usec_per_sample_std,coarse_total_usec_per_sample_mean,coarse_total_usec_per_sample_std,residual_total_usec_per_sample_mean,residual_total_usec_per_sample_std
baseline,100,1,12,2,17,24,32,2,3145728,1889,3147617,6.0,0.6976439920254052,0.0,0.0001549478038214147,0.0,-0.0011880664387717843,0.0,0.0003128091990947726,0.0,9.784959503831309e-08,0.0,3.371818836529017e-06,0.0,0.18166425916408235,0.0,0.0013082823203876617,0.0,1.3369466255822202,0.0,0.0007615949361524163,0.0,0.006875731983768674,0.0,0.006658340545584451,0.0,1.5430166929837688,0.0,5.646361831545584,0.0
baseline,500,1,12,2,17,24,32,2,3145728,1889,3147617,6.0,2.324576731014531,0.0,1.6723515727790073e-05,0.0,-0.00019331944349687546,0.0,0.0009321433678269389,0.0,8.688912581837479e-07,0.0,4.125569186404345e-06,0.0,0.1812400819834643,0.0,0.001236887946724892,0.0,1.3422049425857967,0.0,0.00041964227714779415,0.0,0.0067547150095492725,0.0,0.0067284702254255535,0.0,1.5428956760095494,0.0,5.646431961225425,0.0
baseline,2000,1,12,2,17,24,32,2,3145728,1889,3147617,6.0,9.780158074980136,0.0,4.428851752891205e-06,0.0,2.437634248053655e-05,0.0,0.0011468188092112544,0.0,1.3151933811607196e-06,0.0,4.573020910684358e-06,0.0,0.18116832788271264,0.0,0.001251173969358206,0.0,1.3419580710361878,0.0,0.0002045320987909309,0.0,0.007152679337707468,0.0,0.007341827590323646,0.0,1.5432936403377076,0.0,5.647045318590323,0.0
medium,100,1,10,2,14,20,32,2,327680,1761,329441,0.625,0.6470496859983541,0.0,0.00016600455273874104,0.0,0.0010585854761302471,0.0,0.002157304733991623,0.0,4.653963715302668e-06,0.0,7.896634970368611e-06,0.0,0.1816670097144355,0.0,0.0012819581385701898,0.0,1.3388682065674289,0.0,0.0007924924590476982,0.0,0.01606153787747644,0.0,0.012393631010354511,0.0,1.5522024988774765,0.0,5.652097122010354,0.0
medium,500,1,10,2,14,20,32,2,327680,1761,329441,0.625,2.107568192004692,0.0,1.6753569070715457e-05,0.0,-6.267568824114278e-05,0.0,0.0010317846387624743,0.0,1.0645795407862097e-06,0.0,4.322353637496119e-06,0.0,0.18120545325978724,0.0,0.0012523073016200217,0.0,1.3420108593324462,0.0,0.0004406244285914749,0.0,0.007001861312971869,0.0,0.006429091925497232,0.0,1.543142822312972,0.0,5.646132582925497,0.0
medium,2000,1,10,2,14,20,32,2,327680,1761,329441,0.625,8.020080226007849,0.0,1.4574335182260256e-05,0.0,-0.002239169552922249,0.0,0.0007828079909086225,0.0,6.12788350630394e-07,0.0,3.855885249216767e-06,0.0,0.18118151641902144,0.0,0.0012341892067343,0.0,1.3427254075710753,0.0,0.0002260516321362017,0.0,0.011126540577777178,0.0,0.012358047030147645,0.0,1.5472675015777773,0.0,5.652061538030147,0.0
nano,100,1,4,2,12,8,16,1,32768,161,32929,0.0625,0.8352352069923654,0.0,0.0002036278456216678,0.0,-6.144373037386686e-05,0.0,0.0012306015193462375,0.0,1.514380099417268e-06,0.0,4.742975104983872e-06,0.0,0.18169578470274558,0.0,0.0013036786182783547,0.0,1.3413750371852706,0.0,0.0006994454188937733,0.0,0.01608099342575997,0.0,0.016287154736005505,0.0,1.55222195442576,0.0,5.655990645736005,0.0
nano,500,1,4,2,12,8,16,1,32768,161,32929,0.0625,1.9803643859922886,0.0,1.741630694596097e-05,0.0,1.7525191651657224e-05,0.0,0.0011041735485196116,0.0,1.2191992252503912e-06,0.0,4.475754144312574e-06,0.0,0.1812002906883551,0.0,0.0012620990816503766,0.0,1.3374730060844153,0.0,0.00045229512784532045,0.0,0.016260498725273465,0.0,0.011856552184497104,0.0,1.5524014597252735,0.0,5.651560043184497,0.0
nano,2000,1,4,2,12,8,16,1,32768,161,32929,0.0625,9.049523346009664,0.0,7.945842298795469e-06,0.0,-5.552517541218549e-05,0.0,0.001049517020583153,0.0,1.1014859764937386e-06,0.0,4.357888555193374e-06,0.0,0.1811960308616543,0.0,0.001249960834393278,0.0,1.3370729364283058,0.0,0.00021148959068584955,0.0,0.01614126610149924,0.0,0.016325774510050906,0.0,1.5522822271014993,0.0,5.656029265510051,0.0
small,100,1,8,2,13,16,16,1,131072,289,131361,0.25,0.6594326939666644,0.0,7.068835839163512e-05,0.0,0.00013469996338244528,0.0,0.001448817849159241,0.0,2.0990731600424092e-06,0.0,5.3414115400475035e-06,0.0,0.18133606913809672,0.0,0.0013053502840921286,0.0,1.3406847890803633,0.0,0.0007865842555127049,0.0,0.014438003681505052,0.0,0.01374716251945074,0.0,1.5505789646815051,0.0,5.65345065351945,0.0
small,500,1,8,2,13,16,16,1,131072,289,131361,0.25,1.4973821429884993,0.0,1.1813823221018538e-05,0.0,0.00015465286560356617,0.0,0.0013271936401724818,0.0,1.7614429585142832e-06,0.0,5.020304356140162e-06,0.0,0.18118095220356437,0.0,0.0012735552806407216,0.0,1.3418524370043836,0.0,0.0005226585890372222,0.0,0.005529129154524526,0.0,0.01246904002272231,0.0,1.5416700901545246,0.0,5.652172531022722,0.0
small,2000,1,8,2,13,16,16,1,131072,289,131361,0.25,5.24885626800824,0.0,6.5635736063995864e-06,0.0,0.001066562719643116,0.0,0.0021573792397975924,0.0,4.654285184309638e-06,0.0,7.910871935686383e-06,0.0,0.1811736738241683,0.0,0.001272403467446566,0.0,1.3379178246730148,0.0,0.0002779559315912976,0.0,0.0152870178737885,0.0,0.012589843834120984,0.0,1.5514279788737886,0.0,5.652293334834121,0.0
tiny,100,1,6,2,12,12,16,1,49152,225,49377,0.09375,0.5503068739781156,0.0,0.00018380716210231185,0.0,-0.0002674749121069908,0.0,0.0005502061173319819,0.0,3.027267715495347e-07,0.0,3.58450197869188e-06,0.0,0.181703669613758,0.0,0.0012841884233057502,0.0,1.330701722967977,0.0,0.0008515160855283965,0.0,0.015101685235663354,0.0,0.01301496865835361,0.0,1.5512426462356634,0.0,5.652718459658353,0.0
tiny,500,1,6,2,12,12,16,1,49152,225,49377,0.09375,1.7597982989973389,0.0,2.487956589902751e-05,0.0,-0.0005125939496792853,0.0,0.0005257141962647441,0.0,2.7637541615428587e-07,0.0,3.5290558877869156e-06,0.0,0.18126970329495998,0.0,0.001242670819628984,0.0,1.3416365753717472,0.0,0.000482004113325746,0.0,0.007401459001243893,0.0,0.015882446469106526,0.0,1.543542420001244,0.0,5.655585937469106,0.0
tiny,2000,1,6,2,12,12,16,1,49152,225,49377,0.09375,9.019128008978441,0.0,9.867939297691919e-06,0.0,0.0012782580452039838,0.0,0.002364463470876217,0.0,5.590687505108008e-06,0.0,8.847391808674957e-06,0.0,0.1812089937117803,0.0,0.0012544708512723449,0.0,1.337047707990001,0.0,0.0002118397317056699,0.0,0.016835174143636777,0.0,0.012769866941653163,0.0,1.5529761351436369,0.0,5.652473357941653,0.0
